use,scopus_ok,slot,year,journal,publisher,citations,title,authors,volume,issue,pages,doi,query
Y,Y,rare-class,2025,Scientific Reports,Springer Science and Business Media LLC,22,An enhanced ensemble defense framework for boosting adversarial robustness of intrusion detection systems,"Awad, Zeinab; Zakaria, Magdy; Hassan, Rasha",15.0,1.0,,10.1038/s41598-025-94023-z,adversarial robustness intrusion detection
N,,,2024,PeerJ Computer Science,PeerJ,21,Enhancing Alzheimer’s disease classification through split federated learning and GANs for imbalanced datasets,"Narayanee Nimeshika, G; D, Subitha",10.0,,e2459,10.7717/peerj-cs.2459,imbalanced learning classification survey
Y,Y,related-work,2025,Cybersecurity,Springer Science and Business Media LLC,20,Federated two-stage transformer-based network for intrusion detection in non-IID data of controller area networks,"Zhang, Yuan; Song, Jiaru; Sun, Yongxiong; Gao, Zhanheng; Hu, Zhe; Sun, Minghui",8.0,1.0,,10.1186/s42400-024-00329-2,transformer network intrusion detection
Y,Y,imbalance,2024,SECURITY AND PRIVACY,Wiley,19,Network intrusion detection system for IoT security using machine learning and statistical based hybrid feature selection,"Walling, Supongmen; Lodh, Sibesh",7.0,6.0,,10.1002/spy2.429,feature selection intrusion detection deep learning
Y,Y,imbalance,2024,Concurrency and Computation: Practice and Experience,Wiley,18,Building an intrusion detection system on <scp>UNSW</scp>‐<scp>NB15</scp>: Reducing the margin of error to deal with data overlap and imbalance,"Zoghi, Zeinab; Serpen, Gursel",36.0,25.0,,10.1002/cpe.8242,UNSW-NB15 machine learning intrusion detection
Y,Y,training,2025,Neural Computing and Applications,Springer Science and Business Media LLC,18,"Explainable deep learning techniques for wind speed forecasting in coastal areas: Integrating model configuration, regularization, early stopping, and SHAP analysis","Durap, Ahmet",37.0,25.0,21219-21257,10.1007/s00521-025-11433-w,early stopping model selection deep learning
Y,Y,imbalance,2025,Artificial Intelligence Review,Springer Science and Business Media LLC,16,An experimental survey of imbalanced learning algorithms for bankruptcy prediction,"Gnip, Peter; Kanász, Róbert; Zoričak, Martin; Drotár, Peter",58.0,4.0,,10.1007/s10462-025-11107-y,imbalanced learning classification survey
Y,Y,imbalance,2025,International Journal of Information Technology,Springer Science and Business Media LLC,15,Deep learning meets oversampling: a learning framework to handle imbalanced classification,"Kishanthan, Sukumar; Hevapathige, Asela",17.0,8.0,4491-4503,10.1007/s41870-025-02690-y,imbalanced learning classification survey
Y,Y,related-work,2024,EURASIP Journal on Information Security,Springer Science and Business Media LLC,15,DCNN: a novel binary and multi-class network intrusion detection model via deep convolutional neural network,"Shebl, Ahmed; Elsedimy, E. I.; Ismail, A.; Salama, A. A.; Herajy, Mostafa",2024.0,1.0,,10.1186/s13635-024-00184-1,rare class detection network security deep learning
N,,,2024,Scientific Reports,Springer Science and Business Media LLC,15,Machine learning-based diagnostic prediction of IgA nephropathy: model development and validation study,"Noda, Ryunosuke; Ichikawa, Daisuke; Shibagaki, Yugo",14.0,1.0,,10.1038/s41598-024-63339-7,model selection validation split machine learning
N,,,2025,Journal of Computer Assisted Learning,Wiley,12,"A Critical Review of Using Learning Analytics for Formative Assessment: Progress, Pitfalls and Path Forward","Banihashem, Seyyed Kazem; Gašević, Dragan; Noroozi, Omid",41.0,3.0,,10.1111/jcal.70056,pitfalls machine learning computer security evaluation
Y,Y,evaluation,2025,PeerJ Computer Science,PeerJ,11,"Data leakage detection in machine learning code: transfer learning, active learning, or low-shot prompting?","Alturayeif, Nouf; Hassine, Jameleddine",11.0,,e2730,10.7717/peerj-cs.2730,data leakage preprocessing machine learning security
N,,,2024,The Journal of Supercomputing,Springer Science and Business Media LLC,11,A novel hybrid deep learning model for early stage diabetes risk prediction,"Bülbül, Mehmet Akif",80.0,13.0,19462-19484,10.1007/s11227-024-06211-9,early stopping model selection deep learning
Y,Y,training,2024,Scientific Reports,Springer Science and Business Media LLC,11,Resource constrained neural network training,"Pietrołaj, Mariusz; Blok, Marek",14.0,1.0,,10.1038/s41598-024-52356-1,checkpoint selection validation neural network training
N,,,2025,Scientific Reports,Springer Science and Business Media LLC,9,Improving early detection of Alzheimer’s disease through MRI slice selection and deep learning techniques,"Şener, Begüm; Açıcı, Koray; Sümer, Emre",15.0,1.0,,10.1038/s41598-025-14476-0,early stopping model selection deep learning
Y,Y,related-work,2025,SECURITY AND PRIVACY,Wiley,9,A Systematic Review of Machine Learning and Deep Learning Techniques for DDoS Attack Mitigation in IoT and Edge Computing Systems,"Osei Owusu, Emmanuel; Danlard, Iddrisu; Opoku, Gideon; Dede, Albert; Selorm Klogo, Griffith; Osei Boateng, Kwame; Kofi Akowuah, Emmanuel",9.0,1.0,,10.1002/spy2.70147,deep learning IoT security survey 2025
Y,Y,related-work,2025,International Journal of Communication Systems,Wiley,8,Enhanced Network Intrusion Detection Systems With Explainable Artificial Intelligence for Network Security,"Dasari, Anil Kumar; Bisawas, Saroj Kr.; Purkayastha, Biswajit",38.0,14.0,,10.1002/dac.70209,explainable AI network intrusion detection
Y,Y,imbalance,2025,Machine Learning,Springer Science and Business Media LLC,7,Cost-sensitive classification with cost uncertainty: do we need surrogate losses?,"Komisarenko, Viacheslav; Kull, Meelis",114.0,6.0,,10.1007/s10994-024-06634-8,cost-sensitive learning imbalanced network traffic
Y,Y,evaluation,2024,Communications of the ACM,Association for Computing Machinery (ACM),7,Pitfalls in Machine Learning for Computer Security,"Arp, Daniel; Quiring, Erwin; Pendlebury, Feargus; Warnecke, Alexander; Pierazzi, Fabio; Wressnegger, Christian; Cavallaro, Lorenzo; Rieck, Konrad",67.0,11.0,104-112,10.1145/3643456,pitfalls machine learning computer security evaluation
N,,,2025,Scientific Reports,Springer Science and Business Media LLC,7,Evaluation of machine learning and deep learning algorithms for fire prediction in Southeast Asia,"Eaturu, Aditya; Vadrevu, Krishna Prasad",15.0,1.0,,10.1038/s41598-025-00628-9,CICIDS2017 evaluation deep learning
Y,Y,imbalance,2025,PeerJ Computer Science,PeerJ,7,Machine learning techniques for imbalanced multiclass malware classification through adaptive feature selection,"Panda, Binayak; Bisoyi, Sudhanshu Shekhar; Panigrahy, Sidhanta; Mohanty, Prithviraj",11.0,,e2752,10.7717/peerj-cs.2752,imbalanced learning classification survey
Y,Y,related-work,2025,PeerJ Computer Science,PeerJ,6,Adaptive graph attention-based federated learning for IoT intrusion detection: mitigating poisoning attacks,"Sanjalawe, Yousef; Al-E’mari, Salam; Alqurashi, Tahani; Alharbi, Zahyah H.; Makhadmeh, Sharif Naser; Alsharaiah, Mohammad",11.0,,e3281,10.7717/peerj-cs.3281,federated learning intrusion detection IoT
Y,Y,related-work,2025,Scientific Reports,Springer Science and Business Media LLC,6,D3O-IIoT: deep reinforcement learning-driven dynamic deception orchestration for industrial IoT security,"Wushishi, Usman; Hussain, Altaf; Khalid, Muhammad Imran; Hussain, Nasir; Jamjoom, Mona; Ullah, Zahid",16.0,1.0,,10.1038/s41598-025-33426-4,deep learning IoT security survey 2025
Y,Y,evaluation,2025,PeerJ Computer Science,PeerJ,6,Evaluating the method reproducibility of deep learning models in biodiversity research,"Ahmed, Waqas; Kommineni, Vamsi Krishna; König-Ries, Birgitta; Gaikwad, Jitendra; Gadelha, Luiz; Samuel, Sheeba",11.0,,e2618,10.7717/peerj-cs.2618,random seed variance deep learning reproducibility
N,,,2025,GigaScience,Oxford University Press (OUP),5,DeepAnnotation: A novel interpretable deep learning–based genomic selection model that integrates comprehensive functional annotations,"Ma, Wenlong; Zheng, Weigang; Qin, Shenghua; Wang, Chao; Lei, Bowen; Liu, Yuwen",14.0,,,10.1093/gigascience/giaf083,early stopping model selection deep learning
Y,Y,dataset,2025,International Journal of Network Management,Wiley,5,Real‐Time Encrypted Traffic Classification in Programmable Networks with P4 and Machine Learning,"Akem, Aristide Tanyi‐Jong; Fraysse, Guillaume; Fiore, Marco",35.0,1.0,,10.1002/nem.2320,network traffic classification deep learning evaluation
Y,Y,related-work,2026,Cybersecurity,Springer Science and Business Media LLC,5,Feature reduction in federated learning for intrusion detection in IoT networks,"Nguyen, Thien D.; Alazab, Ammar; Khraisat, Ansam; Jan, Tony",9.0,1.0,,10.1186/s42400-025-00509-8,federated learning intrusion detection IoT
N,,,2025,Neural Processing Letters,Springer Science and Business Media LLC,5,Predicting Depression in Older Adults: A Novel Feature Selection and Neural Network Framework,"Javeed, Ashir; Anderberg, Peter; Ghazi, Ahmad Nauman; Saleem, Muhammad Asim; Sanmartin Berglund, Johan",57.0,3.0,,10.1007/s11063-025-11760-y,checkpoint selection validation neural network training
